Running 10 trials.
Epoch 1 	 Loss: 1.814194 	Val Loss: 0.535365
Epoch 1 	 Train Loss: 3.486097 	 Train acc: 0.208750 	 Val Loss: 2.112028 	 Val acc 0.262500
Epoch 2 	 Train Loss: 2.665456 	 Train acc: 0.478750 	 Val Loss: 1.940447 	 Val acc 0.312500
Epoch 3 	 Train Loss: 1.844421 	 Train acc: 0.656875 	 Val Loss: 1.912318 	 Val acc 0.312500
Epoch 4 	 Train Loss: 1.307832 	 Train acc: 0.791875 	 Val Loss: 1.966796 	 Val acc 0.310000
Epoch 5 	 Train Loss: 0.978761 	 Train acc: 0.861250 	 Val Loss: 2.077629 	 Val acc 0.310000
Epoch 6 	 Train Loss: 0.763808 	 Train acc: 0.909375 	 Val Loss: 2.201156 	 Val acc 0.315000
Epoch 7 	 Train Loss: 0.617424 	 Train acc: 0.929375 	 Val Loss: 2.326783 	 Val acc 0.312500
Epoch 8 	 Train Loss: 0.512685 	 Train acc: 0.935000 	 Val Loss: 2.433167 	 Val acc 0.312500
Epoch 9 	 Train Loss: 0.436150 	 Train acc: 0.946875 	 Val Loss: 2.543776 	 Val acc 0.320000
Epoch 10 	 Train Loss: 0.376257 	 Train acc: 0.946875 	 Val Loss: 2.634586 	 Val acc 0.312500
Epoch 11 	 Train Loss: 0.330218 	 Train acc: 0.951250 	 Val Loss: 2.730507 	 Val acc 0.312500
Epoch 12 	 Train Loss: 0.293841 	 Train acc: 0.952500 	 Val Loss: 2.828482 	 Val acc 0.310000
Epoch 13 	 Train Loss: 0.265268 	 Train acc: 0.956250 	 Val Loss: 2.898488 	 Val acc 0.310000
Epoch 14 	 Train Loss: 0.241838 	 Train acc: 0.958750 	 Val Loss: 2.949136 	 Val acc 0.315000
Epoch 15 	 Train Loss: 0.222211 	 Train acc: 0.964375 	 Val Loss: 3.003774 	 Val acc 0.315000
Epoch 16 	 Train Loss: 0.205194 	 Train acc: 0.966250 	 Val Loss: 3.071705 	 Val acc 0.315000
Epoch 17 	 Train Loss: 0.191718 	 Train acc: 0.970000 	 Val Loss: 3.131022 	 Val acc 0.317500
Epoch 18 	 Train Loss: 0.178811 	 Train acc: 0.968750 	 Val Loss: 3.163856 	 Val acc 0.315000
Epoch 19 	 Train Loss: 0.167053 	 Train acc: 0.973125 	 Val Loss: 3.221528 	 Val acc 0.320000
Epoch 20 	 Train Loss: 0.157543 	 Train acc: 0.971875 	 Val Loss: 3.256620 	 Val acc 0.312500
Epoch 1 	 Loss: 1.772111 	Val Loss: 0.520595
Epoch 1 	 Train Loss: 3.490924 	 Train acc: 0.171875 	 Val Loss: 2.144296 	 Val acc 0.277500
Epoch 2 	 Train Loss: 2.662582 	 Train acc: 0.469375 	 Val Loss: 1.969003 	 Val acc 0.295000
Epoch 3 	 Train Loss: 1.848693 	 Train acc: 0.626875 	 Val Loss: 1.936316 	 Val acc 0.315000
Epoch 4 	 Train Loss: 1.311555 	 Train acc: 0.793750 	 Val Loss: 1.993125 	 Val acc 0.315000
Epoch 5 	 Train Loss: 0.976334 	 Train acc: 0.871250 	 Val Loss: 2.101251 	 Val acc 0.295000
Epoch 6 	 Train Loss: 0.761130 	 Train acc: 0.895000 	 Val Loss: 2.232970 	 Val acc 0.300000
Epoch 7 	 Train Loss: 0.612345 	 Train acc: 0.926250 	 Val Loss: 2.360158 	 Val acc 0.310000
Epoch 8 	 Train Loss: 0.504303 	 Train acc: 0.949375 	 Val Loss: 2.487435 	 Val acc 0.317500
Epoch 9 	 Train Loss: 0.427003 	 Train acc: 0.950000 	 Val Loss: 2.586788 	 Val acc 0.325000
Epoch 10 	 Train Loss: 0.367970 	 Train acc: 0.947500 	 Val Loss: 2.704656 	 Val acc 0.325000
Epoch 11 	 Train Loss: 0.320791 	 Train acc: 0.955625 	 Val Loss: 2.786064 	 Val acc 0.330000
Epoch 12 	 Train Loss: 0.285730 	 Train acc: 0.955625 	 Val Loss: 2.880387 	 Val acc 0.327500
Epoch 13 	 Train Loss: 0.256911 	 Train acc: 0.958750 	 Val Loss: 2.940212 	 Val acc 0.325000
Epoch 14 	 Train Loss: 0.233513 	 Train acc: 0.962500 	 Val Loss: 3.010700 	 Val acc 0.330000
Epoch 15 	 Train Loss: 0.214442 	 Train acc: 0.966250 	 Val Loss: 3.048828 	 Val acc 0.327500
Epoch 16 	 Train Loss: 0.198554 	 Train acc: 0.969375 	 Val Loss: 3.116347 	 Val acc 0.325000
Epoch 17 	 Train Loss: 0.183934 	 Train acc: 0.972500 	 Val Loss: 3.163501 	 Val acc 0.332500
Epoch 18 	 Train Loss: 0.172206 	 Train acc: 0.971250 	 Val Loss: 3.202235 	 Val acc 0.335000
Epoch 19 	 Train Loss: 0.161051 	 Train acc: 0.973125 	 Val Loss: 3.257878 	 Val acc 0.337500
