Running 10 trials.
Epoch 1 	 Loss: 0.083881 	Val Loss: 0.026441
Epoch 1 	 Train Loss: 2.200023 	 Train acc: 0.484290 	 Val Loss: 2.090985 	 Val acc 0.371364
Epoch 2 	 Train Loss: 0.570878 	 Train acc: 0.899943 	 Val Loss: 2.448144 	 Val acc 0.362637
Epoch 3 	 Train Loss: 0.302964 	 Train acc: 0.942286 	 Val Loss: 2.693290 	 Val acc 0.366516
Epoch 4 	 Train Loss: 0.238577 	 Train acc: 0.950186 	 Val Loss: 2.897419 	 Val acc 0.360052
Epoch 5 	 Train Loss: 0.210313 	 Train acc: 0.955297 	 Val Loss: 3.052365 	 Val acc 0.351648
Epoch 6 	 Train Loss: 0.197314 	 Train acc: 0.959051 	 Val Loss: 3.161908 	 Val acc 0.348416
Epoch 7 	 Train Loss: 0.186647 	 Train acc: 0.960026 	 Val Loss: 3.254646 	 Val acc 0.345507
Epoch 8 	 Train Loss: 0.181669 	 Train acc: 0.961235 	 Val Loss: 3.345355 	 Val acc 0.342922
Epoch 9 	 Train Loss: 0.177108 	 Train acc: 0.961932 	 Val Loss: 3.389818 	 Val acc 0.346800
Epoch 10 	 Train Loss: 0.172324 	 Train acc: 0.962407 	 Val Loss: 3.419442 	 Val acc 0.349386
Epoch 11 	 Train Loss: 0.168763 	 Train acc: 0.963186 	 Val Loss: 3.463975 	 Val acc 0.345507
Epoch 12 	 Train Loss: 0.165358 	 Train acc: 0.962629 	 Val Loss: 3.498737 	 Val acc 0.344215
Epoch 13 	 Train Loss: 0.160990 	 Train acc: 0.963651 	 Val Loss: 3.477438 	 Val acc 0.344861
Epoch 14 	 Train Loss: 0.159724 	 Train acc: 0.964487 	 Val Loss: 3.564459 	 Val acc 0.341306
Epoch 15 	 Train Loss: 0.156172 	 Train acc: 0.964405 	 Val Loss: 3.561587 	 Val acc 0.350356
Epoch 16 	 Train Loss: 0.156620 	 Train acc: 0.964452 	 Val Loss: 3.606869 	 Val acc 0.343568
Epoch 17 	 Train Loss: 0.151592 	 Train acc: 0.965696 	 Val Loss: 3.623245 	 Val acc 0.341629
Epoch 18 	 Train Loss: 0.151063 	 Train acc: 0.965138 	 Val Loss: 3.600611 	 Val acc 0.346154
Epoch 19 	 Train Loss: 0.149501 	 Train acc: 0.966057 	 Val Loss: 3.697099 	 Val acc 0.340013
Epoch 20 	 Train Loss: 0.146854 	 Train acc: 0.965939 	 Val Loss: 3.678118 	 Val acc 0.339690
Epoch 1 	 Loss: 0.088147 	Val Loss: 0.027865
Epoch 1 	 Train Loss: 2.219956 	 Train acc: 0.478533 	 Val Loss: 2.082079 	 Val acc 0.378798
Epoch 2 	 Train Loss: 0.577817 	 Train acc: 0.897351 	 Val Loss: 2.440011 	 Val acc 0.361345
Epoch 3 	 Train Loss: 0.302303 	 Train acc: 0.941578 	 Val Loss: 2.721468 	 Val acc 0.356820
Epoch 4 	 Train Loss: 0.237709 	 Train acc: 0.950397 	 Val Loss: 2.924377 	 Val acc 0.351325
Epoch 5 	 Train Loss: 0.214425 	 Train acc: 0.955380 	 Val Loss: 3.091624 	 Val acc 0.347770
Epoch 6 	 Train Loss: 0.198682 	 Train acc: 0.957574 	 Val Loss: 3.171495 	 Val acc 0.346477
Epoch 7 	 Train Loss: 0.188170 	 Train acc: 0.959526 	 Val Loss: 3.298537 	 Val acc 0.343245
Epoch 8 	 Train Loss: 0.181305 	 Train acc: 0.960781 	 Val Loss: 3.424142 	 Val acc 0.337750
Epoch 9 	 Train Loss: 0.176955 	 Train acc: 0.961942 	 Val Loss: 3.406455 	 Val acc 0.340983
Epoch 10 	 Train Loss: 0.170579 	 Train acc: 0.963093 	 Val Loss: 3.483037 	 Val acc 0.335165
Epoch 11 	 Train Loss: 0.168258 	 Train acc: 0.963011 	 Val Loss: 3.555115 	 Val acc 0.326438
Epoch 12 	 Train Loss: 0.164068 	 Train acc: 0.963336 	 Val Loss: 3.598637 	 Val acc 0.329024
Epoch 13 	 Train Loss: 0.162933 	 Train acc: 0.963279 	 Val Loss: 3.630103 	 Val acc 0.326761
Epoch 14 	 Train Loss: 0.158647 	 Train acc: 0.964359 	 Val Loss: 3.688030 	 Val acc 0.322237
Epoch 15 	 Train Loss: 0.155529 	 Train acc: 0.965009 	 Val Loss: 3.660024 	 Val acc 0.325145
Epoch 16 	 Train Loss: 0.154707 	 Train acc: 0.965195 	 Val Loss: 3.750413 	 Val acc 0.319974
Epoch 17 	 Train Loss: 0.151222 	 Train acc: 0.965428 	 Val Loss: 3.717054 	 Val acc 0.329024
Epoch 18 	 Train Loss: 0.150645 	 Train acc: 0.965277 	 Val Loss: 3.779033 	 Val acc 0.325145
Epoch 19 	 Train Loss: 0.148020 	 Train acc: 0.965974 	 Val Loss: 3.814488 	 Val acc 0.319005
Epoch 20 	 Train Loss: 0.145936 	 Train acc: 0.966439 	 Val Loss: 3.848596 	 Val acc 0.325145
Epoch 1 	 Loss: 0.085036 	Val Loss: 0.026551
Epoch 1 	 Train Loss: 2.195922 	 Train acc: 0.480070 	 Val Loss: 2.121626 	 Val acc 0.373303
Epoch 2 	 Train Loss: 0.564934 	 Train acc: 0.902416 	 Val Loss: 2.474898 	 Val acc 0.355204
Epoch 3 	 Train Loss: 0.303643 	 Train acc: 0.941078 	 Val Loss: 2.762574 	 Val acc 0.345507
Epoch 4 	 Train Loss: 0.237480 	 Train acc: 0.949757 	 Val Loss: 2.974738 	 Val acc 0.334518
Epoch 5 	 Train Loss: 0.210140 	 Train acc: 0.954786 	 Val Loss: 3.101710 	 Val acc 0.329024
Epoch 6 	 Train Loss: 0.195459 	 Train acc: 0.958643 	 Val Loss: 3.233216 	 Val acc 0.330317
Epoch 7 	 Train Loss: 0.185282 	 Train acc: 0.959758 	 Val Loss: 3.309674 	 Val acc 0.325792
Epoch 8 	 Train Loss: 0.179917 	 Train acc: 0.960491 	 Val Loss: 3.419286 	 Val acc 0.325145
Epoch 9 	 Train Loss: 0.172622 	 Train acc: 0.962500 	 Val Loss: 3.466497 	 Val acc 0.321267
Epoch 10 	 Train Loss: 0.167979 	 Train acc: 0.962732 	 Val Loss: 3.539412 	 Val acc 0.321590
Epoch 11 	 Train Loss: 0.164406 	 Train acc: 0.963966 	 Val Loss: 3.555554 	 Val acc 0.324499
Epoch 12 	 Train Loss: 0.160547 	 Train acc: 0.964394 	 Val Loss: 3.607013 	 Val acc 0.325469
Epoch 13 	 Train Loss: 0.158989 	 Train acc: 0.964080 	 Val Loss: 3.638024 	 Val acc 0.323529
Epoch 14 	 Train Loss: 0.156443 	 Train acc: 0.964534 	 Val Loss: 3.680961 	 Val acc 0.321913
Epoch 15 	 Train Loss: 0.154067 	 Train acc: 0.964638 	 Val Loss: 3.711157 	 Val acc 0.329994
Epoch 16 	 Train Loss: 0.151918 	 Train acc: 0.966021 	 Val Loss: 3.731993 	 Val acc 0.319651
Epoch 17 	 Train Loss: 0.149750 	 Train acc: 0.965613 	 Val Loss: 3.776326 	 Val acc 0.320297
Epoch 18 	 Train Loss: 0.147507 	 Train acc: 0.966067 	 Val Loss: 3.813684 	 Val acc 0.316742
Epoch 19 	 Train Loss: 0.145446 	 Train acc: 0.966335 	 Val Loss: 3.809628 	 Val acc 0.326115
Epoch 20 	 Train Loss: 0.144316 	 Train acc: 0.966543 	 Val Loss: 3.803192 	 Val acc 0.325145
Epoch 1 	 Loss: 0.084409 	Val Loss: 0.025968
Epoch 1 	 Train Loss: 2.171086 	 Train acc: 0.490141 	 Val Loss: 2.098958 	 Val acc 0.373303
Epoch 2 	 Train Loss: 0.555968 	 Train acc: 0.902184 	 Val Loss: 2.467531 	 Val acc 0.358112
Epoch 3 	 Train Loss: 0.295174 	 Train acc: 0.941904 	 Val Loss: 2.751492 	 Val acc 0.353264
Epoch 4 	 Train Loss: 0.233948 	 Train acc: 0.950872 	 Val Loss: 2.850505 	 Val acc 0.347770
Epoch 5 	 Train Loss: 0.208949 	 Train acc: 0.955519 	 Val Loss: 3.067389 	 Val acc 0.338720
Epoch 6 	 Train Loss: 0.192601 	 Train acc: 0.958447 	 Val Loss: 3.156557 	 Val acc 0.335165
Epoch 7 	 Train Loss: 0.183750 	 Train acc: 0.960781 	 Val Loss: 3.249632 	 Val acc 0.334195
Epoch 8 	 Train Loss: 0.177534 	 Train acc: 0.961385 	 Val Loss: 3.286773 	 Val acc 0.330640
Epoch 9 	 Train Loss: 0.173962 	 Train acc: 0.962210 	 Val Loss: 3.350551 	 Val acc 0.331610
Epoch 10 	 Train Loss: 0.167290 	 Train acc: 0.963176 	 Val Loss: 3.412605 	 Val acc 0.328701
Epoch 11 	 Train Loss: 0.165185 	 Train acc: 0.963093 	 Val Loss: 3.473433 	 Val acc 0.330317
