Running 10 trials.
Epoch 1 	 Loss: 1.784446 	Val Loss: 0.540024
Epoch 1 	 Train Loss: 3.522138 	 Train acc: 0.175000 	 Val Loss: 2.116898 	 Val acc 0.265000
Epoch 2 	 Train Loss: 2.732979 	 Train acc: 0.434375 	 Val Loss: 1.929595 	 Val acc 0.295000
Epoch 3 	 Train Loss: 1.918147 	 Train acc: 0.606250 	 Val Loss: 1.886818 	 Val acc 0.302500
Epoch 4 	 Train Loss: 1.396158 	 Train acc: 0.733125 	 Val Loss: 1.925922 	 Val acc 0.310000
Epoch 5 	 Train Loss: 1.077857 	 Train acc: 0.805000 	 Val Loss: 2.015182 	 Val acc 0.310000
Epoch 6 	 Train Loss: 0.869008 	 Train acc: 0.865625 	 Val Loss: 2.118834 	 Val acc 0.310000
Epoch 7 	 Train Loss: 0.728129 	 Train acc: 0.905625 	 Val Loss: 2.227565 	 Val acc 0.297500
Epoch 8 	 Train Loss: 0.622461 	 Train acc: 0.913125 	 Val Loss: 2.329946 	 Val acc 0.290000
Epoch 9 	 Train Loss: 0.540800 	 Train acc: 0.919375 	 Val Loss: 2.437825 	 Val acc 0.297500
Epoch 10 	 Train Loss: 0.477803 	 Train acc: 0.926250 	 Val Loss: 2.510115 	 Val acc 0.322500
Epoch 11 	 Train Loss: 0.424671 	 Train acc: 0.941875 	 Val Loss: 2.606630 	 Val acc 0.327500
Epoch 12 	 Train Loss: 0.381890 	 Train acc: 0.946250 	 Val Loss: 2.702046 	 Val acc 0.335000
Epoch 13 	 Train Loss: 0.346399 	 Train acc: 0.947500 	 Val Loss: 2.779486 	 Val acc 0.335000
Epoch 14 	 Train Loss: 0.314870 	 Train acc: 0.953750 	 Val Loss: 2.868543 	 Val acc 0.332500
Epoch 15 	 Train Loss: 0.290303 	 Train acc: 0.953125 	 Val Loss: 2.925438 	 Val acc 0.327500
Epoch 16 	 Train Loss: 0.269055 	 Train acc: 0.958125 	 Val Loss: 2.992531 	 Val acc 0.327500
Epoch 17 	 Train Loss: 0.250427 	 Train acc: 0.961250 	 Val Loss: 3.062428 	 Val acc 0.330000
Epoch 18 	 Train Loss: 0.234414 	 Train acc: 0.967500 	 Val Loss: 3.097344 	 Val acc 0.332500
Epoch 19 	 Train Loss: 0.219039 	 Train acc: 0.968125 	 Val Loss: 3.168913 	 Val acc 0.332500
Epoch 20 	 Train Loss: 0.206790 	 Train acc: 0.970625 	 Val Loss: 3.200559 	 Val acc 0.345000
Epoch 1 	 Loss: 1.790323 	Val Loss: 0.626250
Epoch 1 	 Train Loss: 3.496697 	 Train acc: 0.228125 	 Val Loss: 2.148815 	 Val acc 0.270000
Epoch 2 	 Train Loss: 2.679167 	 Train acc: 0.446875 	 Val Loss: 1.979813 	 Val acc 0.295000
Epoch 3 	 Train Loss: 1.876828 	 Train acc: 0.618125 	 Val Loss: 1.965823 	 Val acc 0.305000
Epoch 4 	 Train Loss: 1.364969 	 Train acc: 0.707500 	 Val Loss: 2.044370 	 Val acc 0.302500
Epoch 5 	 Train Loss: 1.060222 	 Train acc: 0.776875 	 Val Loss: 2.163517 	 Val acc 0.292500
Epoch 6 	 Train Loss: 0.864887 	 Train acc: 0.850625 	 Val Loss: 2.274111 	 Val acc 0.302500
Epoch 7 	 Train Loss: 0.727480 	 Train acc: 0.890625 	 Val Loss: 2.403742 	 Val acc 0.297500
Epoch 8 	 Train Loss: 0.626980 	 Train acc: 0.901875 	 Val Loss: 2.529473 	 Val acc 0.302500
Epoch 9 	 Train Loss: 0.547545 	 Train acc: 0.904375 	 Val Loss: 2.624277 	 Val acc 0.307500
Epoch 10 	 Train Loss: 0.484000 	 Train acc: 0.924375 	 Val Loss: 2.736873 	 Val acc 0.317500
Epoch 11 	 Train Loss: 0.432444 	 Train acc: 0.939375 	 Val Loss: 2.841985 	 Val acc 0.310000
Epoch 12 	 Train Loss: 0.388926 	 Train acc: 0.940625 	 Val Loss: 2.930922 	 Val acc 0.312500
Epoch 13 	 Train Loss: 0.354864 	 Train acc: 0.945625 	 Val Loss: 3.009066 	 Val acc 0.315000
Epoch 14 	 Train Loss: 0.323897 	 Train acc: 0.941875 	 Val Loss: 3.087575 	 Val acc 0.322500
Epoch 15 	 Train Loss: 0.297861 	 Train acc: 0.947500 	 Val Loss: 3.161111 	 Val acc 0.315000
Epoch 16 	 Train Loss: 0.276068 	 Train acc: 0.953750 	 Val Loss: 3.228958 	 Val acc 0.315000
Epoch 17 	 Train Loss: 0.257056 	 Train acc: 0.956875 	 Val Loss: 3.291909 	 Val acc 0.317500
Epoch 18 	 Train Loss: 0.240006 	 Train acc: 0.966875 	 Val Loss: 3.358563 	 Val acc 0.317500
Epoch 19 	 Train Loss: 0.224109 	 Train acc: 0.966250 	 Val Loss: 3.408662 	 Val acc 0.317500
Epoch 20 	 Train Loss: 0.211373 	 Train acc: 0.970625 	 Val Loss: 3.466805 	 Val acc 0.315000
Epoch 1 	 Loss: 1.770418 	Val Loss: 0.536544
Epoch 1 	 Train Loss: 3.491297 	 Train acc: 0.182500 	 Val Loss: 2.122438 	 Val acc 0.292500
Epoch 2 	 Train Loss: 2.678070 	 Train acc: 0.453125 	 Val Loss: 1.939475 	 Val acc 0.292500
Epoch 3 	 Train Loss: 1.888731 	 Train acc: 0.589375 	 Val Loss: 1.879858 	 Val acc 0.320000
Epoch 4 	 Train Loss: 1.382128 	 Train acc: 0.699375 	 Val Loss: 1.901374 	 Val acc 0.340000
Epoch 5 	 Train Loss: 1.073941 	 Train acc: 0.781875 	 Val Loss: 1.964697 	 Val acc 0.332500
Epoch 6 	 Train Loss: 0.871499 	 Train acc: 0.846250 	 Val Loss: 2.071674 	 Val acc 0.325000
Epoch 7 	 Train Loss: 0.730735 	 Train acc: 0.888750 	 Val Loss: 2.174570 	 Val acc 0.322500
Epoch 8 	 Train Loss: 0.627655 	 Train acc: 0.900625 	 Val Loss: 2.272124 	 Val acc 0.330000
Epoch 9 	 Train Loss: 0.547562 	 Train acc: 0.909375 	 Val Loss: 2.390722 	 Val acc 0.330000
Epoch 10 	 Train Loss: 0.483957 	 Train acc: 0.922500 	 Val Loss: 2.489642 	 Val acc 0.335000
Epoch 11 	 Train Loss: 0.430661 	 Train acc: 0.927500 	 Val Loss: 2.592295 	 Val acc 0.337500
Epoch 12 	 Train Loss: 0.386956 	 Train acc: 0.936875 	 Val Loss: 2.693226 	 Val acc 0.345000
Epoch 13 	 Train Loss: 0.351173 	 Train acc: 0.939375 	 Val Loss: 2.768134 	 Val acc 0.345000
Epoch 14 	 Train Loss: 0.320536 	 Train acc: 0.950625 	 Val Loss: 2.845479 	 Val acc 0.345000
Epoch 15 	 Train Loss: 0.294189 	 Train acc: 0.951250 	 Val Loss: 2.908821 	 Val acc 0.345000
Epoch 16 	 Train Loss: 0.272515 	 Train acc: 0.954375 	 Val Loss: 3.004116 	 Val acc 0.337500
Epoch 17 	 Train Loss: 0.253218 	 Train acc: 0.963125 	 Val Loss: 3.042204 	 Val acc 0.345000
Epoch 18 	 Train Loss: 0.236896 	 Train acc: 0.969375 	 Val Loss: 3.113091 	 Val acc 0.340000
Epoch 19 	 Train Loss: 0.221683 	 Train acc: 0.967500 	 Val Loss: 3.151992 	 Val acc 0.347500
Epoch 20 	 Train Loss: 0.208538 	 Train acc: 0.968750 	 Val Loss: 3.224540 	 Val acc 0.345000
Epoch 1 	 Loss: 1.817909 	Val Loss: 0.544694
Epoch 1 	 Train Loss: 3.515503 	 Train acc: 0.231250 	 Val Loss: 2.155382 	 Val acc 0.275000
Epoch 2 	 Train Loss: 2.716342 	 Train acc: 0.441250 	 Val Loss: 1.985837 	 Val acc 0.290000
Epoch 3 	 Train Loss: 1.900386 	 Train acc: 0.611875 	 Val Loss: 1.943583 	 Val acc 0.310000
Epoch 4 	 Train Loss: 1.385218 	 Train acc: 0.710000 	 Val Loss: 1.986946 	 Val acc 0.317500
Epoch 5 	 Train Loss: 1.080497 	 Train acc: 0.783125 	 Val Loss: 2.085420 	 Val acc 0.312500
Epoch 6 	 Train Loss: 0.878381 	 Train acc: 0.848750 	 Val Loss: 2.185657 	 Val acc 0.307500
Epoch 7 	 Train Loss: 0.737621 	 Train acc: 0.892500 	 Val Loss: 2.297957 	 Val acc 0.312500
Epoch 8 	 Train Loss: 0.635212 	 Train acc: 0.905000 	 Val Loss: 2.414465 	 Val acc 0.317500
Epoch 9 	 Train Loss: 0.553855 	 Train acc: 0.916250 	 Val Loss: 2.508409 	 Val acc 0.332500
Epoch 10 	 Train Loss: 0.488918 	 Train acc: 0.921875 	 Val Loss: 2.631515 	 Val acc 0.327500
Epoch 11 	 Train Loss: 0.435108 	 Train acc: 0.932500 	 Val Loss: 2.719673 	 Val acc 0.335000
Epoch 12 	 Train Loss: 0.393269 	 Train acc: 0.936250 	 Val Loss: 2.807213 	 Val acc 0.335000
Epoch 13 	 Train Loss: 0.356830 	 Train acc: 0.948750 	 Val Loss: 2.885566 	 Val acc 0.332500
Epoch 14 	 Train Loss: 0.325121 	 Train acc: 0.955000 	 Val Loss: 2.947748 	 Val acc 0.327500
Epoch 15 	 Train Loss: 0.297987 	 Train acc: 0.956875 	 Val Loss: 3.021073 	 Val acc 0.332500
Epoch 16 	 Train Loss: 0.275982 	 Train acc: 0.964375 	 Val Loss: 3.098612 	 Val acc 0.327500
Epoch 17 	 Train Loss: 0.257428 	 Train acc: 0.964375 	 Val Loss: 3.163495 	 Val acc 0.332500
Epoch 18 	 Train Loss: 0.241039 	 Train acc: 0.969375 	 Val Loss: 3.224930 	 Val acc 0.332500
Epoch 19 	 Train Loss: 0.224658 	 Train acc: 0.971875 	 Val Loss: 3.254968 	 Val acc 0.327500
Epoch 20 	 Train Loss: 0.211413 	 Train acc: 0.973750 	 Val Loss: 3.305194 	 Val acc 0.332500
Epoch 1 	 Loss: 1.778492 	Val Loss: 0.563924
Epoch 1 	 Train Loss: 3.487231 	 Train acc: 0.208125 	 Val Loss: 2.109064 	 Val acc 0.315000
Epoch 2 	 Train Loss: 2.657602 	 Train acc: 0.425625 	 Val Loss: 1.932006 	 Val acc 0.287500
Epoch 3 	 Train Loss: 1.864970 	 Train acc: 0.592500 	 Val Loss: 1.912102 	 Val acc 0.297500
Epoch 4 	 Train Loss: 1.359478 	 Train acc: 0.718750 	 Val Loss: 1.985562 	 Val acc 0.302500
