Running 10 trials.
Epoch 1 	 Loss: 0.251639 	Val Loss: 0.074869
Epoch 1 	 Train Loss: 1.899522 	 Train acc: 0.571383 	 Val Loss: 2.533376 	 Val acc 0.173830
Epoch 2 	 Train Loss: 0.519063 	 Train acc: 0.906646 	 Val Loss: 3.044140 	 Val acc 0.170027
Epoch 3 	 Train Loss: 0.314954 	 Train acc: 0.939911 	 Val Loss: 3.529284 	 Val acc 0.170787
Epoch 4 	 Train Loss: 0.259138 	 Train acc: 0.949782 	 Val Loss: 3.803448 	 Val acc 0.155572
Epoch 5 	 Train Loss: 0.233827 	 Train acc: 0.954415 	 Val Loss: 4.071328 	 Val acc 0.153671
Epoch 6 	 Train Loss: 0.219216 	 Train acc: 0.956514 	 Val Loss: 4.138645 	 Val acc 0.161658
Epoch 7 	 Train Loss: 0.209780 	 Train acc: 0.958359 	 Val Loss: 4.172872 	 Val acc 0.152149
Epoch 8 	 Train Loss: 0.202950 	 Train acc: 0.959971 	 Val Loss: 4.285936 	 Val acc 0.150247
Epoch 9 	 Train Loss: 0.197975 	 Train acc: 0.960419 	 Val Loss: 4.389403 	 Val acc 0.149106
Epoch 10 	 Train Loss: 0.192688 	 Train acc: 0.961199 	 Val Loss: 4.434198 	 Val acc 0.147965
Epoch 11 	 Train Loss: 0.189043 	 Train acc: 0.961654 	 Val Loss: 4.473466 	 Val acc 0.146444
Epoch 12 	 Train Loss: 0.185779 	 Train acc: 0.962382 	 Val Loss: 4.459090 	 Val acc 0.146063
Epoch 13 	 Train Loss: 0.182453 	 Train acc: 0.962518 	 Val Loss: 4.526791 	 Val acc 0.143781
Epoch 14 	 Train Loss: 0.178987 	 Train acc: 0.963103 	 Val Loss: 4.559528 	 Val acc 0.144542
Epoch 15 	 Train Loss: 0.177211 	 Train acc: 0.963467 	 Val Loss: 4.620607 	 Val acc 0.139977
Epoch 16 	 Train Loss: 0.174330 	 Train acc: 0.963701 	 Val Loss: 4.625832 	 Val acc 0.140738
Epoch 17 	 Train Loss: 0.172012 	 Train acc: 0.963415 	 Val Loss: 4.619612 	 Val acc 0.142640
Epoch 18 	 Train Loss: 0.170660 	 Train acc: 0.963785 	 Val Loss: 4.610803 	 Val acc 0.143781
Epoch 19 	 Train Loss: 0.167924 	 Train acc: 0.964923 	 Val Loss: 4.677642 	 Val acc 0.141879
Epoch 20 	 Train Loss: 0.166074 	 Train acc: 0.964747 	 Val Loss: 4.757937 	 Val acc 0.138456
